Countryno,country,year,CO2_transport_capita,GDP_per_capita,gas_cons_capita,vehicles_capita,urban_pop,pop_density
1,Australia,1960,2.092156679764865,12290.4008293509,399.4559614155708,265.710148283386,81.529,1.33768220454812
1,Australia,1961,2.047123914909854,12370.5105471806,407.4215396356005,275.6872237282142,81.941,1.36456529945459
1,Australia,1962,2.094582014522435,12828.9886236666,426.8292682926829,284.2736985899475,82.337,1.398279161188706
1,Australia,1963,2.22648401826484,13668.1783745589,448.7671232876712,322.2739501483551,82.727,1.425354386056259
1,Australia,1964,2.290677890212232,13973.7438509531,476.4036894421062,334.7090969445533,83.11,1.453601135076735
1,Australia,1965,2.355988760098349,13947.1397971169,495.69722514928,347.3134514471736,83.485,1.48236856149851
1,Australia,1966,2.357737533258948,14588.7975484633,503.3902669298772,357.810391894425,83.855,1.516603100633925
1,Australia,1967,2.463768115942029,14907.2601756665,524.281718789728,351.0762938855895,84.217,1.535868164481991
1,Australia,1968,2.58306270297277,15775.699805738,545.1744524939628,363.5720741252002,84.57299999999999,1.563203728050193
1,Australia,1969,2.716301068254098,16599.5638645924,571.1489847508766,377.308371394745,84.922,1.596266743032686
1,Australia,1970,2.569760933877029,16750.8665883324,593.3477252738467,389.2886213755416,85.265,1.62802806451193
1,Australia,1971,2.553142150421273,16967.5687971994,603.3856380922934,389.4822669916923,85.59999999999999,1.684000885151582
1,Australia,1972,2.579494573878728,17490.1572460913,626.8498140699703,400.6297327570189,85.681,1.715241529229528
1,Australia,1973,2.816143497757847,18647.7556983189,664.7234678624812,418.422986029599,85.761,1.741665907345456
1,Australia,1974,2.824455294031917,17863.2021265445,662.9016978794724,430.7955964473754,85.84099999999999,1.786313994506853
1,Australia,1975,2.900741380551357,17681.605486542,680.5585546678184,447.3722298815219,85.92100000000001,1.808442784062065
1,Australia,1976,2.963728354592746,18179.9884724148,699.9216133399843,456.1653996323969,86,1.826666493107533
1,Australia,1977,3.120772266065389,18103.1988722163,725.4791431792559,469.4855986427311,85.94,1.847363419809172
1,Australia,1978,3.254631564284719,18836.0704930921,743.4183033848726,482.3815950959346,85.881,1.868971531963084
1,Australia,1979,3.296127876533003,19297.5627301093,757.5444398511781,489.8760176138114,85.821,1.889277950613748
1,Australia,1980,3.339912877756602,19705.8669871579,742.9213177239313,491.5441921756136,85.76000000000001,1.912448094971558
1,Australia,1981,3.344275473973337,20401.4029356559,734.5079386346888,504.4437616396864,85.7,1.943037892297879
1,Australia,1982,3.363420740545526,19630.9278058492,742.1926472526025,522.1212016245879,85.64,1.975710399229397
1,Australia,1983,3.286485783069816,20482.0192541605,722.1029344784956,529.0968370977973,85.58,2.000572745141429
1,Australia,1984,3.38973237261966,21001.9391952442,730.4426145136388,539.0230886738075,85.52,2.023352381448264
1,Australia,1985,3.440157380378221,21281.9813866455,732.3264373651479,549.7593094794391,85.45999999999999,2.051208622417766
1,Australia,1986,3.474754032862208,21371.3875446146,733.8435798831345,553.4644036606795,85.40000000000001,2.085104721242336
1,Australia,1987,3.480100098992247,22680.1385351427,721.9670558722078,554.9016562966794,85.40000000000001,2.117061296747068
1,Australia,1988,3.555485658291093,23976.7872215249,735.3528266050496,558.8606060606061,85.40000000000001,2.151985733439204
1,Australia,1989,3.604053668284328,24616.5379807033,745.4324864401941,564.8511904761905,85.40000000000001,2.188719524100855
1,Australia,1990,3.597400542627936,24053.3955943188,758.4485294548523,571.0572429906541,85.40000000000001,2.221352980227276
1,Australia,1991,3.469682943763018,23827.3894926357,716.7900948854432,558.4201388888888,85.40000000000001,2.249847051013369
1,Australia,1992,3.512432123463847,24496.2443671283,711.689054015433,569.1538021726701,85.566,2.277312783931895
1,Australia,1993,3.539933208807381,25263.6270165308,710.4771608082866,571.2911077149487,85.748,2.299701912187756
1,Australia,1994,3.593951274152898,26380.661060725,715.5418650238029,580.3921568627451,85.928,2.324173750048813
1,Australia,1995,3.699092518813634,27463.3054981186,716.9654714475432,589.4244604316547,86.10599999999999,2.352420499069289
1,Australia,1996,3.785156463328054,28405.3919163355,712.9048113156027,606.3989071038251,86.283,2.38353097379691
1,Australia,1997,3.815952908138467,29473.0494263664,705.7838742776908,613.5783783783784,86.504,2.410345859963813
1,Australia,1998,3.776388220832665,30442.3119275183,700.2298113409224,625.8930481283423,86.727,2.435598713926819
1,Australia,1999,3.805875515164324,31649.6552334523,703.0539997886506,624.7296587926509,86.947,2.463585124246645
1,Australia,2000,3.876677282932178,31808.5517218924,711.0113298177831,627.3394255874674,87.16500000000001,2.493133566770368
1,Australia,2001,3.794364601040539,32638.4236134744,670.8391284191006,625.0515463917526,87.378,2.526977597854809
1,Australia,2002,3.834841283572672,33289.3632545641,695.2176435266698,632.3193337057539,87.541,2.558009970972235
1,Australia,2003,3.801381223800476,34283.1060245603,689.8579571157152,643.8241526429509,87.69499999999999,2.589771292451479
1,Australia,2004,3.893697149159852,34903.0118501845,723.2429424565518,654.8718055803696,87.849,2.619970581726827
1,Australia,2005,3.850000980642124,35506.2815141701,691.9410830211623,665.8915468459458,88,2.654777866003671
2,Belgium,1960,.7658281994985736,9337.64958633288,117.9877967843737,101.617469392792,92.45999999999999,278.8997257769653
2,Belgium,1961,.7905097023632974,9698.116778160211,125.4362502923579,110.8932425008789,92.554,279.280926264473
2,Belgium,1962,.8047217864216322,10159.8373809861,129.818325922735,120.921892883977,92.679,280.865326020719
2,Belgium,1963,.80733968655844,10431.6745352363,134.1260332602422,132.7233453700913,92.83499999999999,282.845825716027
2,Belgium,1964,.8338564485200807,11092.3387976455,148.6439756057535,146.2579790809834,92.988,285.405240706886
2,Belgium,1965,.8939452328574116,11461.5755596638,164.312628498023,166.3319399874671,93.137,287.8732480195
2,Belgium,1966,.83544933267435,11744.4608089791,160.47764191697,191.2801923920597,93.28400000000001,289.7014015844
2,Belgium,1967,.9028293628498347,12132.742006814,175.9734457531585,184.3423447243304,93.428,291.194393662401
2,Belgium,1968,1.017803133794017,12590.2722584439,193.3721990660747,215.124764010191,93.569,292.1998781230961
2,Belgium,1969,1.052246146394704,13450.3643813944,209.7235422814272,226.0206896497199,93.70699999999999,292.900670322974
2,Belgium,1970,1.170311496529094,14252.7596107932,228.1589581286367,240.9109768902792,93.843,293.662400975015
2,Belgium,1971,1.210565893551664,14668.6369542211,238.5982990877233,250.8273484259144,93.976,294.728823887873
2,Belgium,1972,1.289244334970804,15573.9057384289,259.2905140140962,262.5025994158916,94.10599999999999,295.825716026813
2,Belgium,1973,1.315989373539785,16700.203463619,263.7111310938931,274.1272628220217,94.233,296.709323583181
2,Belgium,1974,1.271947099280127,17212.4412778826,256.640653660061,285.4861688142071,94.358,297.623400365631
2,Belgium,1975,1.356025590008877,16833.34979536,282.1227055210342,296.8130468089417,94.48,298.446069469835
2,Belgium,1976,1.439160043865354,17881.7145359953,291.702361332652,309.0315571467624,94.59999999999999,298.9335770871419
2,Belgium,1977,1.507574800429445,18214.3594171213,302.5322170362463,322.6476678680503,94.806,299.26873857404
2,Belgium,1978,1.546821221411502,18889.6595527448,315.3604632089284,332.8890529462806,95.005,299.512492382693
2,Belgium,1979,1.63580169818758,19542.5887184122,317.2094664890131,345.5510136827934,95.196,299.7257769652649
